"ID","Name","Status","Response Time (ms)","Last Checked"
"anthropic","Anthropic","operational","1135","2026-01-01T03:02:40.394Z"
"aws","AWS Bedrock","operational","534","2026-01-01T03:02:39.865Z"
"azure","Azure OpenAI","operational","854","2026-01-01T03:02:40.233Z"
"cohere","Cohere","operational","702","2026-01-01T03:02:40.158Z"
"deepseek","DeepSeek","operational","469","2026-01-01T03:02:39.811Z"
"google-ai","Google Gemini / AI Studio","operational","957","2026-01-01T03:02:41.743Z"
"groq","Groq","operational","676","2026-01-01T03:02:40.201Z"
"mistral","Mistral AI","operational","798","2026-01-01T03:02:40.648Z"
"openai","OpenAI","operational","663","2026-01-01T03:02:40.200Z"
"perplexity","Perplexity","operational","602","2026-01-01T03:02:40.157Z"
"replicate","Replicate","operational","981","2026-01-01T03:02:40.449Z"
"xai","xAI (Grok)","operational","622","2026-01-01T03:02:40.135Z"
