"ID","Name","Status","Response Time (ms)","Last Checked"
"anthropic","Anthropic","operational","1746","2026-01-01T03:00:08.445Z"
"aws","AWS Bedrock","operational","1290","2026-01-01T03:00:08.045Z"
"azure","Azure OpenAI","operational","1625","2026-01-01T03:00:08.407Z"
"cohere","Cohere","operational","1560","2026-01-01T03:00:08.336Z"
"deepseek","DeepSeek","operational","1273","2026-01-01T03:00:08.009Z"
"google-ai","Google Gemini / AI Studio","operational","1364","2026-01-01T03:00:08.870Z"
"groq","Groq","operational","1498","2026-01-01T03:00:08.337Z"
"mistral","Mistral AI","operational","1449","2026-01-01T03:00:08.671Z"
"openai","OpenAI","operational","1470","2026-01-01T03:00:08.313Z"
"perplexity","Perplexity","operational","1368","2026-01-01T03:00:08.277Z"
"replicate","Replicate","operational","1735","2026-01-01T03:00:08.527Z"
"xai","xAI (Grok)","operational","1483","2026-01-01T03:00:08.314Z"
