"ID","Name","Status","Response Time (ms)","Last Checked"
"anthropic","Anthropic","operational","1246","2026-01-01T01:02:00.673Z"
"aws","AWS Bedrock","operational","775","2026-01-01T01:02:00.220Z"
"azure","Azure OpenAI","operational","1091","2026-01-01T01:02:00.585Z"
"cohere","Cohere","operational","928","2026-01-01T01:02:00.584Z"
"deepseek","DeepSeek","operational","714","2026-01-01T01:02:00.153Z"
"google-ai","Google Gemini / AI Studio","operational","1224","2026-01-01T01:02:01.737Z"
"groq","Groq","operational","901","2026-01-01T01:02:00.550Z"
"mistral","Mistral AI","operational","873","2026-01-01T01:02:01.142Z"
"openai","OpenAI","operational","996","2026-01-01T01:02:00.561Z"
"perplexity","Perplexity","operational","752","2026-01-01T01:02:00.477Z"
"replicate","Replicate","operational","1294","2026-01-01T01:02:00.894Z"
"xai","xAI (Grok)","operational","790","2026-01-01T01:02:00.465Z"
