"ID","Name","Status","Response Time (ms)","Last Checked"
"anthropic","Anthropic","operational","1824","2026-01-01T00:59:10.353Z"
"aws","AWS Bedrock","operational","1209","2026-01-01T00:59:09.771Z"
"azure","Azure OpenAI","operational","1745","2026-01-01T00:59:10.401Z"
"cohere","Cohere","operational","1489","2026-01-01T00:59:10.221Z"
"deepseek","DeepSeek","operational","1064","2026-01-01T00:59:09.615Z"
"google-ai","Google Gemini / AI Studio","operational","1127","2026-01-01T00:59:11.200Z"
"groq","Groq","operational","1533","2026-01-01T00:59:10.270Z"
"mistral","Mistral AI","operational","1341","2026-01-01T00:59:10.708Z"
"openai","OpenAI","operational","1046","2026-01-01T00:59:10.209Z"
"perplexity","Perplexity","operational","1282","2026-01-01T00:59:10.183Z"
"replicate","Replicate","operational","1846","2026-01-01T00:59:10.473Z"
"xai","xAI (Grok)","operational","1445","2026-01-01T00:59:10.220Z"
