"ID","Name","Status","Response Time (ms)","Last Checked"
"anthropic","Anthropic","operational","1751","2026-01-01T00:35:19.270Z"
"aws","AWS Bedrock","operational","1107","2026-01-01T00:35:18.686Z"
"azure","Azure OpenAI","operational","1441","2026-01-01T00:35:19.113Z"
"cohere","Cohere","operational","1357","2026-01-01T00:35:19.188Z"
"deepseek","DeepSeek","operational","1179","2026-01-01T00:35:18.989Z"
"google-ai","Google Gemini / AI Studio","operational","1136","2026-01-01T00:35:20.783Z"
"groq","Groq","operational","1396","2026-01-01T00:35:19.288Z"
"mistral","Mistral AI","operational","1119","2026-01-01T00:35:19.890Z"
"openai","OpenAI","operational","1351","2026-01-01T00:35:19.187Z"
"perplexity","Perplexity","operational","1365","2026-01-01T00:35:19.081Z"
"replicate","Replicate","operational","1779","2026-01-01T00:35:19.566Z"
"xai","xAI (Grok)","operational","1134","2026-01-01T00:35:19.052Z"
